Year,Month,Day,Time,Sugar
2023,1,1,15:18:50,178
2023,1,2,14:28:06,142
2023,1,3,09:25:12,92
2023,1,4,10:40:51,158
2023,1,5,05:15:10,104
2023,1,6,05:10:57,96
2023,1,7,05:17:49,118
2023,1,8,03:34:02,75
2023,1,9,20:39:43,179
2023,1,10,10:47:37,138
2023,1,11,21:16:38,121
2023,1,12,08:44:42,134
2023,1,13,13:40:09,163
2023,1,14,12:20:26,83
2023,1,15,19:16:46,162
2023,1,16,15:24:25,112
2023,1,17,11:33:29,125
2023,1,18,12:09:53,82
2023,1,19,23:32:17,142
2023,1,20,00:52:48,124
2023,1,21,19:26:24,162
2023,1,22,10:07:23,124
2023,1,23,14:33:24,139
2023,1,24,03:04:34,119
2023,1,25,21:25:41,184
2023,1,26,01:43:54,82
2023,1,27,11:36:35,119
2023,1,28,07:15:17,109
2023,1,29,14:35:43,175
2023,1,30,08:08:09,139
2023,1,31,09:56:49,152
2023,2,1,16:22:42,87
2023,2,2,18:32:41,171
2023,2,3,21:05:48,174
2023,2,4,01:54:16,139
2023,2,5,21:02:49,131
2023,2,6,22:55:34,105
2023,2,7,10:37:25,99
2023,2,8,09:17:00,80
2023,2,9,22:06:15,164
2023,2,10,23:14:41,183
2023,2,11,03:28:16,103
2023,2,12,16:08:56,140
2023,2,13,01:32:28,141
2023,2,14,09:52:41,161
2023,2,15,22:27:37,140
2023,2,16,16:56:23,112
2023,2,17,16:31:50,89
2023,2,18,12:33:05,93
2023,2,19,18:59:27,158
2023,2,20,17:48:26,176
2023,2,21,20:10:29,102
2023,2,22,07:32:03,132
2023,2,23,05:54:06,92
2023,2,24,14:20:22,149
2023,2,25,10:18:43,102
2023,2,26,20:38:58,128
2023,2,27,09:01:14,79
2023,2,28,01:47:56,85
2023,3,1,22:22:31,176
2023,3,2,04:57:08,145
2023,3,3,20:53:08,147
2023,3,4,14:28:02,117
2023,3,5,16:46:49,129
2023,3,6,04:54:11,154
2023,3,7,06:02:57,114
2023,3,8,13:39:40,144
2023,3,9,00:05:08,176
2023,3,10,12:18:16,135
2023,3,11,04:34:52,108
2023,3,12,11:26:28,127
2023,3,13,10:58:30,145
2023,3,14,16:41:11,149
2023,3,15,23:34:24,180
2023,3,16,06:06:16,165
2023,3,17,13:30:08,141
2023,3,18,21:34:37,152
2023,3,19,09:28:26,116
2023,3,20,17:06:27,144
2023,3,21,17:14:19,102
2023,3,22,07:06:37,155
2023,3,23,09:50:23,184
2023,3,24,09:35:29,156
2023,3,25,15:27:08,109
2023,3,26,02:35:16,83
2023,3,27,16:50:35,123
2023,3,28,17:48:11,88
2023,3,29,15:00:47,177
2023,3,30,22:26:35,156
2023,3,31,08:58:04,81
2023,4,1,23:51:08,174
2023,4,2,08:06:48,78
2023,4,3,05:20:49,75
2023,4,4,05:00:00,156
2023,4,5,16:25:59,173
2023,4,6,01:59:03,123
2023,4,7,23:11:17,125
2023,4,8,07:37:38,129
2023,4,9,16:24:35,158
2023,4,10,15:29:42,183
2023,4,11,03:13:57,124
2023,4,12,22:40:35,136
2023,4,13,23:28:46,164
2023,4,14,21:51:16,142
2023,4,15,04:46:26,154
2023,4,16,23:30:16,164
2023,4,17,04:38:16,148
2023,4,18,03:40:05,106
2023,4,19,04:37:12,178
2023,4,20,16:50:19,118
2023,4,21,20:49:44,117
2023,4,22,04:34:03,150
2023,4,23,10:26:17,120
2023,4,24,11:18:10,166
2023,4,25,21:10:16,87
2023,4,26,20:11:46,146
2023,4,27,06:08:13,174
2023,4,28,15:29:09,150
2023,4,29,00:37:33,170
2023,4,30,08:26:33,149
2023,5,1,12:44:28,168
2023,5,2,20:01:06,93
2023,5,3,15:56:04,149
2023,5,4,09:55:01,124
2023,5,5,10:38:25,110
2023,5,6,20:44:25,129
2023,5,7,03:08:13,142
2023,5,8,19:25:59,95
2023,5,9,00:20:39,149
2023,5,10,23:28:40,163
2023,5,11,14:16:21,120
2023,5,12,11:53:31,127
